INDEX ORBITAL_ID_2 ORBITAL_ID_1 Tau K_1
1 1 1 0 0
2 1 1 0 1
3 1 1 0 2
4 1 1 0 3
5 1 1 0 4
6 1 1 0 5
7 1 1 0 6
8 1 1 0 7
9 1 1 0 8
10 1 1 0 9
11 1 1 0 10
12 1 1 0 11
13 1 1 0 12
14 1 1 0 13
15 1 1 0 14
16 1 1 0 15
17 1 1 0 16
18 1 1 0 17
19 1 1 0 18
20 1 1 0 19
21 1 1 0 20
22 1 1 0 21
23 1 1 0 22
24 1 1 0 23
25 1 1 0 24
26 1 1 0 25
27 1 1 0 26
28 1 1 0 27
29 1 1 0 28
30 1 1 0 29
31 1 1 0 30
32 1 1 0 31
33 1 1 1 0
34 1 1 1 1
35 1 1 1 2
36 1 1 1 3
37 1 1 1 4
38 1 1 1 5
39 1 1 1 6
40 1 1 1 7
41 1 1 1 8
42 1 1 1 9
43 1 1 1 10
44 1 1 1 11
45 1 1 1 12
46 1 1 1 13
47 1 1 1 14
48 1 1 1 15
49 1 1 1 16
50 1 1 1 17
51 1 1 1 18
52 1 1 1 19
53 1 1 1 20
54 1 1 1 21
55 1 1 1 22
56 1 1 1 23
57 1 1 1 24
58 1 1 1 25
59 1 1 1 26
60 1 1 1 27
61 1 1 1 28
62 1 1 1 29
63 1 1 1 30
64 1 1 1 31
65 1 1 2 0
66 1 1 2 1
67 1 1 2 2
68 1 1 2 3
69 1 1 2 4
70 1 1 2 5
71 1 1 2 6
72 1 1 2 7
73 1 1 2 8
74 1 1 2 9
75 1 1 2 10
76 1 1 2 11
77 1 1 2 12
78 1 1 2 13
79 1 1 2 14
80 1 1 2 15
81 1 1 2 16
82 1 1 2 17
83 1 1 2 18
84 1 1 2 19
85 1 1 2 20
86 1 1 2 21
87 1 1 2 22
88 1 1 2 23
89 1 1 2 24
90 1 1 2 25
91 1 1 2 26
92 1 1 2 27
93 1 1 2 28
94 1 1 2 29
95 1 1 2 30
96 1 1 2 31
97 1 1 3 0
98 1 1 3 1
99 1 1 3 2
100 1 1 3 3
101 1 1 3 4
102 1 1 3 5
103 1 1 3 6
104 1 1 3 7
105 1 1 3 8
106 1 1 3 9
107 1 1 3 10
108 1 1 3 11
109 1 1 3 12
110 1 1 3 13
111 1 1 3 14
112 1 1 3 15
113 1 1 3 16
114 1 1 3 17
115 1 1 3 18
116 1 1 3 19
117 1 1 3 20
118 1 1 3 21
119 1 1 3 22
120 1 1 3 23
121 1 1 3 24
122 1 1 3 25
123 1 1 3 26
124 1 1 3 27
125 1 1 3 28
126 1 1 3 29
127 1 1 3 30
128 1 1 3 31
129 1 1 4 0
130 1 1 4 1
131 1 1 4 2
132 1 1 4 3
133 1 1 4 4
134 1 1 4 5
135 1 1 4 6
136 1 1 4 7
137 1 1 4 8
138 1 1 4 9
139 1 1 4 10
140 1 1 4 11
141 1 1 4 12
142 1 1 4 13
143 1 1 4 14
144 1 1 4 15
145 1 1 4 16
146 1 1 4 17
147 1 1 4 18
148 1 1 4 19
149 1 1 4 20
150 1 1 4 21
151 1 1 4 22
152 1 1 4 23
153 1 1 4 24
154 1 1 4 25
155 1 1 4 26
156 1 1 4 27
157 1 1 4 28
158 1 1 4 29
159 1 1 4 30
160 1 1 4 31
161 1 1 5 0
162 1 1 5 1
163 1 1 5 2
164 1 1 5 3
165 1 1 5 4
166 1 1 5 5
167 1 1 5 6
168 1 1 5 7
169 1 1 5 8
170 1 1 5 9
171 1 1 5 10
172 1 1 5 11
173 1 1 5 12
174 1 1 5 13
175 1 1 5 14
176 1 1 5 15
177 1 1 5 16
178 1 1 5 17
179 1 1 5 18
180 1 1 5 19
181 1 1 5 20
182 1 1 5 21
183 1 1 5 22
184 1 1 5 23
185 1 1 5 24
186 1 1 5 25
187 1 1 5 26
188 1 1 5 27
189 1 1 5 28
190 1 1 5 29
191 1 1 5 30
192 1 1 5 31
193 1 1 6 0
194 1 1 6 1
195 1 1 6 2
196 1 1 6 3
197 1 1 6 4
198 1 1 6 5
199 1 1 6 6
200 1 1 6 7
201 1 1 6 8
202 1 1 6 9
203 1 1 6 10
204 1 1 6 11
205 1 1 6 12
206 1 1 6 13
207 1 1 6 14
208 1 1 6 15
209 1 1 6 16
210 1 1 6 17
211 1 1 6 18
212 1 1 6 19
213 1 1 6 20
214 1 1 6 21
215 1 1 6 22
216 1 1 6 23
217 1 1 6 24
218 1 1 6 25
219 1 1 6 26
220 1 1 6 27
221 1 1 6 28
222 1 1 6 29
223 1 1 6 30
224 1 1 6 31
225 1 1 7 0
226 1 1 7 1
227 1 1 7 2
228 1 1 7 3
229 1 1 7 4
230 1 1 7 5
231 1 1 7 6
232 1 1 7 7
233 1 1 7 8
234 1 1 7 9
235 1 1 7 10
236 1 1 7 11
237 1 1 7 12
